,Product Name,Memory,Battery,Display,Camera,Price,Rating
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"₹10,999",4.3
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"₹10,999",4.3
2,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-Ion Battery,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,"₹8,499",4.2
3,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"₹10,999",4.3
4,"POCO C55 (Cool Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,"₹8,999",4.2
5,"POCO C55 (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,"₹8,999",4.2
6,"POCO C50 (Royal Blue, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Polymer Battery,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,"₹5,499",4.2
7,"POCO C55 (Cool Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,"₹7,499",4.2
8,"POCO C55 (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,"₹7,499",4.2
9,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Ion Battery,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"₹11,999",4.3
